debate_name,debate_url
"October 3, 2000: The First Gore-Bush Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-3-2000-transcript/
"October 5, 2000: The Lieberman-Cheney Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-5-2000-debate-transcript/
"October 11, 2000: The Second Gore-Bush Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-11-2000-debate-transcript/
"October 17, 2000: The Third Gore-Bush Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-17-2000-debate-transcript/
The 2000 Debate Transcripts: Transcripts of the debates translated into six languages,http://www.debates.org/voter-education/debate-transcripts/2000-debate-transcripts-translations/
"October 6, 1996: The First Clinton-Dole Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-6-1996-debate-transcript/
"October 9, 1996: The Gore-Kemp Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-9-1996-debate-transcript/
"October 16, 1996: The Second Clinton-Dole Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-16-1996-debate-transcript/
First half of Debate,http://www.debates.org/voter-education/debate-transcripts/october-11-1992-first-half-debate-transcript/
Second half of Debate,http://www.debates.org/voter-education/debate-transcripts/october-11-1992-second-half-debate-transcript/
"October 13, 1992: The Gore-Quayle-Stockdale Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-13-1992-debate-transcript/
First half of Debate,http://www.debates.org/voter-education/debate-transcripts/october-15-1992-first-half-debate-transcript/
Second half of Debate,http://www.debates.org/voter-education/debate-transcripts/october-15-1992-second-half-debate-transcript/
"October 19, 1992: The Third Clinton-Bush-Perot Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-19-1992-debate-transcript/
"September 25, 1988: The First Bush-Dukakis Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/september-25-1988-debate-transcript/
"October 5, 1988: The Bentsen-Quayle Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-5-1988-debate-transcripts/
"October 13, 1988: The Second Bush-Dukakis Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-13-1988-debate-transcript/
"October 7, 1984: The First Reagan-Mondale Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-7-1984-debate-transcript/
"October 11, 1984: The Bush-Ferraro Vice Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-11-1984-debate-transcript/
"October 21, 1984: The Second Reagan-Mondale Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-21-1984-debate-transcript/
"September 21, 1980: The Anderson-Reagan Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/september-21-1980-debate-transcript/
"October 28, 1980: The Carter-Reagan Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-28-1980-debate-transcript/
"September 23, 1976: The First Carter-Ford Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/september-23-1976-debate-transcript/
"October 6, 1976: The Second Carter-Ford Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-6-1976-debate-transcript/
"October 22, 1976: The Third Carter-Ford Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-22-1976-debate-transcript/
"September 26, 1960: The First Kennedy-Nixon Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/september-26-1960-debate-transcript/
"October 7, 1960: The Second Kennedy-Nixon Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-7-1960-debate-transcript/
"October 13, 1960: The Third Kennedy-Nixon Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-13-1960-debate-transcript/
"October 21, 1960: The Fourth Kennedy-Nixon Presidential Debate",http://www.debates.org/voter-education/debate-transcripts/october-21-1960-debate-transcript/
